"movie","chapter","character","dialog"
"Harry Potter and the Order of the Phoenix","","Sirius Black","You-Know-Who wants something. Something he didn't have last time. A weapon."
"Harry Potter and the Order of the Phoenix","","Harry Potter","What kind of weapon?"
"Harry Potter and the Order of the Phoenix","","Remus Lupin","I'm sorry, Harry, we can't say anything more."
"Harry Potter and the Order of the Phoenix","","Molly Weasley","Morning, dear! Did you have a good sleep?"
"Harry Potter and the Order of the Phoenix","","Harry Potter","No, my scar kept hurting."
"Harry Potter and the Order of the Phoenix","","Harry Potter","Yeah...nerves..."
"Harry Potter and the Order of the Phoenix","","Molly Weasley","Good luck, Harry!"
"Harry Potter and the Order of the Phoenix","","Hermione Granger","They'll have to let you off, Harry... You were defending"
"Harry Potter and the Order of the Phoenix","","Harry Potter","Thanks, Hermione."
"Harry Potter and the Order of the Phoenix","","Ron Weasley","What does he get a hug for?"
"Harry Potter and the Order of the Phoenix","","Ron Weasley","Oh, sure, that's why."
"Harry Potter and the Order of the Phoenix","","Ron Weasley","Me? Jealous? Of course not, it just doesn't seem fair that you hug one friend more than the other, is all..."
"Harry Potter and the Order of the Phoenix","","Hermione Granger","Would you like a hug?"
"Harry Potter and the Order of the Phoenix","","Arthur Weasley","Well, come on, Harry. Time to go."
"Harry Potter and the Order of the Phoenix","","Harry Potter","Bye."
"Harry Potter and the Order of the Phoenix","","Arthur Weasley","Good, good, not very many Muggles."
"Harry Potter and the Order of the Phoenix","","Arthur Weasley","Well, come on Harry, in we go."
"Harry Potter and the Order of the Phoenix","","Arthur Weasley","I do love using the Fellytone! Now, let's see, what's the number again..."
"Harry Potter and the Order of the Phoenix","","Witch","Welcome to the Ministry of Magic. Please state your business."
"Harry Potter and the Order of the Phoenix","","Arthur Weasley","Harry Potter, disciplinary hearing."
"Harry Potter and the Order of the Phoenix","","Witch","Pleas stand by."
"Harry Potter and the Order of the Phoenix","","Arthur Weasley","Keep close, Harry!"
"Harry Potter and the Order of the Phoenix","","Arthur Weasley","Ah, Perkins, good morn-"
"Harry Potter and the Order of the Phoenix","","Perkins","Arthur, they've changed the time of Potter's hearing."
"Harry Potter and the Order of the Phoenix","","Arthur Weasley","Blast! Dumbledore thought they might try that."
"Harry Potter and the Order of the Phoenix","","Perkins","It started at eight!"
"Harry Potter and the Order of the Phoenix","","Arthur Weasley","Good lord, that was five minutes ago! Come on, Harry!"
